103 |  1208,   1208,   2416,  21984, 8219.840000
104 |  1208,   1208,   2416,  21984, 8219.840000
105 |  1208,   1208,   2416,  21984, 8219.840000
106 |  1209,   1209,   2418,  -9084, 7909.160000
107 |  1214,   1214,   2428,  32184, 8321.840000
108 |  1217,   1217,   2434,   4516, 8045.160000
109 |  1221,   1221,   2442,  11316, 8113.160000
110 |  1214,   1214,   2428,  32184, 8321.840000
111 |  1210,   1210,   2420,  25384, 8253.840000
112 |  1212,   1212,   2424,  28784, 8287.840000
113 |  1205,   1205,   2410, -15884, 7841.160000
114 |  1206,   1206,   2412,  18584, 8185.840000
115 |  1203,   1203,   2406, -19284, 7807.160000
116 |  1202,   1202,   2404,  11784, 8117.840000
117 |  1206,   1206,   2412,  18584, 8185.840000
118 |  1208,   1208,   2416,  21984, 8219.840000
119 |  1197,   1197,   2394, -29484, 7705.160000
120 |  1208,   1208,   2416,  21984, 8219.840000
121 |  1202,   1202,   2404,  11784, 8117.840000
122 |  1196,   1196,   2392,   1584, 8015.840000
123 |  1198,   1198,   2396,   4984, 8049.840000
124 |  1201,   1201,   2402, -22684, 7773.160000
125 |  1204,   1204,   2408,  15184, 8151.840000
126 |  1199,   1199,   2398, -26084, 7739.160000
127 |  1207,   1207,   2414, -12484, 7875.160000
128 |  1212,   1212,   2424,  28784, 8287.840000
129 |  1206,   1206,   2412,  18584, 8185.840000
130 |  1205,   1205,   2410, -15884, 7841.160000
131 |  1205,   1205,   2410, -15884, 7841.160000
132 |  1204,   1204,   2408,  15184, 8151.840000
133 |  1205,   1205,   2410, -15884, 7841.160000
134 |  1196,   1196,   2392,   1584, 8015.840000
135 |  1199,   1199,   2398, -26084, 7739.160000
136 |  1209,   1209,   2418,  -9084, 7909.160000
137 |  1209,   1209,   2418,  -9084, 7909.160000
138 |  1208,   1208,   2416,  21984, 8219.840000
139 |  1206,   1206,   2412,  18584, 8185.840000
140 |  1216,   1216,   2432, -29952, 7700.480000
141 |  1199,   1199,   2398, -26084, 7739.160000
142 |  1212,   1212,   2424,  28784, 8287.840000
143 |  1200,   1200,   2400,   8384, 8083.840000
144 |  1211,   1211,   2422,  -5684, 7943.160000
145 |  1211,   1211,   2422,  -5684, 7943.160000
146 |  1206,   1206,   2412,  18584, 8185.840000
147 |  1212,   1212,   2424,  28784, 8287.840000
148 |  1218,   1218,   2436, -26552, 7734.480000
149 |  1208,   1208,   2416,  21984, 8219.840000
150 |  1205,   1205,   2410, -15884, 7841.160000
151 |  1200,   1200,   2400,   8384, 8083.840000
152 |  1202,   1202,   2404,  11784, 8117.840000
153 |  1193,   1193,   2386,  29252, 8292.520000
154 |  1201,   1201,   2402, -22684, 7773.160000
155 |  1197,   1197,   2394, -29484, 7705.160000
156 |  1209,   1209,   2418,  -9084, 7909.160000
157 |  1206,   1206,   2412,  18584, 8185.840000
158 |  1212,   1212,   2424,  28784, 8287.840000
159 |  1209,   1209,   2418,  -9084, 7909.160000
160 |  1208,   1208,   2416,  21984, 8219.840000
161 |  1205,   1205,   2410, -15884, 7841.160000
162 |  1207,   1207,   2414, -12484, 7875.160000
163 |  1204,   1204,   2408,  15184, 8151.840000
164 |  1201,   1201,   2402, -22684, 7773.160000
165 |  1207,   1207,   2414, -12484, 7875.160000
166 |  1200,   1200,   2400,   8384, 8083.840000
167 |  1209,   1209,   2418,  -9084, 7909.160000
168 |  1214,   1214,   2428,  32184, 8321.840000
169 |  1210,   1210,   2420,  25384, 8253.840000
170 |  1206,   1206,   2412,  18584, 8185.840000
171 |  1206,   1206,   2412,  18584, 8185.840000
172 |  1203,   1203,   2406, -19284, 7807.160000
173 |  1189,   1189,   2378,  22452, 8224.520000
174 |  1206,   1206,   2412,  18584, 8185.840000
175 |  1201,   1201,   2402, -22684, 7773.160000
176 |  1195,   1195,   2390,  32652, 8326.520000
177 |  1202,   1202,   2404,  11784, 8117.840000
178 |  1200,   1200,   2400,   8384, 8083.840000
179 |  1194,   1194,   2388,  -1816, 7981.840000
180 |  1198,   1198,   2396,   4984, 8049.840000
181 |  1194,   1194,   2388,  -1816, 7981.840000
182 |  1193,   1193,   2386,  29252, 8292.520000
183 |  1190,   1190,   2380,  -8616, 7913.840000
184 |  1200,   1200,   2400,   8384, 8083.840000
185 |  1201,   1201,   2402, -22684, 7773.160000
186 |  1206,   1206,   2412,  18584, 8185.840000
187 |  1211,   1211,   2422,  -5684, 7943.160000
188 |  1219,   1219,   2438,   7916, 8079.160000
189 |  1214,   1214,   2428,  32184, 8321.840000
190 |  1210,   1210,   2420,  25384, 8253.840000
191 |  1206,   1206,   2412,  18584, 8185.840000
192 |  1209,   1209,   2418,  -9084, 7909.160000
193 |  1201,   1201,   2402, -22684, 7773.160000
194 |  1199,   1199,   2398, -26084, 7739.160000
195 |  1199,   1199,   2398, -26084, 7739.160000
196 |  1208,   1208,   2416,  21984, 8219.840000
197 |  1213,   1213,   2426,  -2284, 7977.160000
198 |  1214,   1214,   2428,  32184, 8321.840000
199 |  1207,   1207,   2414, -12484, 7875.160000
200 |  1214,   1214,   2428,  32184, 8321.840000
201 |  1204,   1204,   2408,  15184, 8151.840000
202 |  1199,   1199,   2398, -26084, 7739.160000
203 |  1196,   1196,   2392,   1584, 8015.840000
204 |  1207,   1207,   2414, -12484, 7875.160000
205 |  1203,   1203,   2406, -19284, 7807.160000
206 |  1206,   1206,   2412,  18584, 8185.840000
207 |  1202,   1202,   2404,  11784, 8117.840000
208 |  1211,   1211,   2422,  -5684, 7943.160000
209 |  1210,   1210,   2420,  25384, 8253.840000
210 |  1205,   1205,   2410, -15884, 7841.160000
211 |  1203,   1203,   2406, -19284, 7807.160000
212 |  1218,   1218,   2436, -26552, 7734.480000
213 |  1208,   1208,   2416,  21984, 8219.840000
214 |  1198,   1198,   2396,   4984, 8049.840000
215 |  1203,   1203,   2406, -19284, 7807.160000
216 |  1201,   1201,   2402, -22684, 7773.160000
217 |  1197,   1197,   2394, -29484, 7705.160000
218 |  1203,   1203,   2406, -19284, 7807.160000
219 |  1181,   1181,   2362,   8852, 8088.520000
220 |  1221,   1221,   2442,  11316, 8113.160000
221 |  1180,   1180,   2360, -25616, 7743.840000
222 |  1201,   1201,   2402, -22684, 7773.160000
223 |  1210,   1210,   2420,  25384, 8253.840000
224 |  1207,   1207,   2414, -12484, 7875.160000
225 |  1231,   1231,   2462,  28316, 8283.160000
226 |  1209,   1209,   2418,  -9084, 7909.160000
227 |  1233,   1233,   2466,  31716, 8317.160000
228 |  1222,   1222,   2444, -19752, 7802.480000
229 |  1217,   1217,   2434,   4516, 8045.160000
230 |  1224,   1224,   2448, -16352, 7836.480000
231 |  1196,   1196,   2392,   1584, 8015.840000
232 |  1211,   1211,   2422,  -5684, 7943.160000
233 |  1195,   1195,   2390,  32652, 8326.520000
234 |  1193,   1193,   2386,  29252, 8292.520000
235 |  1213,   1213,   2426,  -2284, 7977.160000
236 |  1190,   1190,   2380,  -8616, 7913.840000
237 |  1214,   1214,   2428,  32184, 8321.840000
238 |  1201,   1201,   2402, -22684, 7773.160000
239 |  1212,   1212,   2424,  28784, 8287.840000
240 |  1196,   1196,   2392,   1584, 8015.840000
241 |  1205,   1205,   2410, -15884, 7841.160000
242 |  1196,   1196,   2392,   1584, 8015.840000
243 |  1191,   1191,   2382,  25852, 8258.520000
244 |  1195,   1195,   2390,  32652, 8326.520000
245 |  1184,   1184,   2368, -18816, 7811.840000
246 |  1198,   1198,   2396,   4984, 8049.840000
247 |  1182,   1182,   2364, -22216, 7777.840000
248 |  1206,   1206,   2412,  18584, 8185.840000
249 |  1188,   1188,   2376, -12016, 7879.840000
250 |  1199,   1199,   2398, -26084, 7739.160000
251 |  1194,   1194,   2388,  -1816, 7981.840000
252 |  1192,   1192,   2384,  -5216, 7947.840000
253 |  1192,   1192,   2384,  -5216, 7947.840000
254 |  1190,   1190,   2380,  -8616, 7913.840000
255 |  1204,   1204,   2408,  15184, 8151.840000
256 |  1201,   1201,   2402, -22684, 7773.160000
257 |  1215,   1215,   2430,   1116, 8011.160000
258 |  1206,   1206,   2412,  18584, 8185.840000
259 |  1218,   1218,   2436, -26552, 7734.480000
260 |  1215,   1215,   2430,   1116, 8011.160000
261 |  1216,   1216,   2432, -29952, 7700.480000
262 |  1217,   1217,   2434,   4516, 8045.160000
263 |  1211,   1211,   2422,  -5684, 7943.160000
264 |  1213,   1213,   2426,  -2284, 7977.160000
265 |  1212,   1212,   2424,  28784, 8287.840000
266 |  1207,   1207,   2414, -12484, 7875.160000
267 |  1201,   1201,   2402, -22684, 7773.160000
268 |  1208,   1208,   2416,  21984, 8219.840000
269 |  1205,   1205,   2410, -15884, 7841.160000
270 |  1198,   1198,   2396,   4984, 8049.840000
271 |  1201,   1201,   2402, -22684, 7773.160000
272 |  1195,   1195,   2390,  32652, 8326.520000
273 |  1194,   1194,   2388,  -1816, 7981.840000
274 |  1191,   1191,   2382,  25852, 8258.520000
275 |  1205,   1205,   2410, -15884, 7841.160000
276 |  1196,   1196,   2392,   1584, 8015.840000
